Year	Day	Hour	Temp	RH	WndSp	WndDir	Precip	Solar
	Julian	EST	*C	%	kmh	degrees	mm	W/m2
2005	355	1100	-3.377	78.4	5.128	268	0	113.8
2005	355	1200	-2.559	72.1	6.285	236.8	0	172.7
2005	355	1300	-2.445	66.72	6.721	246.3	0	155.9
2005	355	1400	-1.791	61.91	6.07	258.2	0	184.4
2005	355	1500	-2.795	66.26	6.71	250.8	0	95.7
2005	355	1600	-3.336	69.96	6.74	244.2	0	59.73
2005	355	1700	-3.999	75.6	5.915	250.4	0	11.03
2005	355	1800	-4.782	81.8	6.395	247.7	0	-3.375
2005	355	1900	-4.27	83.3	5.279	240	0	-1.233
2005	355	2000	-3.74	85.3	3.928	254.3	0	-0.772
2005	355	2100	-3.614	88	3.213	249.4	0	-1.061
2005	355	2200	-3.55	87.4	3.976	239	0	-1.288
2005	355	2300	-3.587	85.7	4.507	239.4	0	-1.304
2005	355	2400	-3.526	84.6	3.982	242.1	0	-1.297
2005	355	2400	-5.567	82.7	4.633	252.2	0	34.63
2005	356	100	-3.468	82.4	4.678	246.7	0	-1.538
2005	356	200	-3.324	80.6	4.387	237.8	0	-1.245
2005	356	300	-3.322	79.2	4.909	234.2	0	-1.253
2005	356	400	-3.387	77.3	4.57	224.2	0	-1.252
2005	356	500	-3.505	75.9	4.765	219.8	0	-1.247
2005	356	600	-3.705	73.1	5.879	236.9	0	-1.246
2005	356	700	-4.094	75.3	5.348	252.5	0	-1.034
2005	356	800	-4.181	79.3	3.468	233.7	0	-0.229
2005	356	900	-3.786	82.4	4.35	230.2	0	10.6
2005	356	1000	-3.103	83.4	5.141	224.5	0	42.49
2005	356	1100	-2.17	81.8	5.786	233.3	0	52.01
2005	356	1200	-1.781	79.6	7.97	230.6	0	113
2005	356	1300	-1.275	70.5	9.22	228.9	0	160.6
2005	356	1400	-0.612	67.75	8.4	227.5	0	129.7
2005	356	1500	-0.149	72.3	8.57	229.3	0	102.8
2005	356	1600	0.128	76.5	8.43	232.8	0	57.36
2005	356	1700	0.815	77.9	10.56	236.1	0	11.03
2005	356	1800	1.367	77.2	12.21	236.6	0	-1.353
2005	356	1900	1.886	76.6	12.54	235.3	0	-0.424
2005	356	2000	1.796	77.9	11.88	234.4	0	-1.801
2005	356	2100	1.746	79.3	10.04	235.2	0	-1.562
2005	356	2200	1.831	78.8	9.65	239.3	0	-1.856
2005	356	2300	1.959	77.4	9.32	241.2	0	-1.954
2005	356	2400	1.494	78.3	7.91	241.7	0	-3.032
2005	356	2400	-1.202	77.5	7.5	234.4	0	27.44
2005	357	100	1.573	78.8	7.4	242.2	0	-2.424
2005	357	200	1.759	79.1	6.102	241.3	0	-1.025
2005	357	300	1.685	79.8	4.63	243.2	0	-0.607
2005	357	400	1.408	82.4	4.073	241.6	0	-0.486
2005	357	500	1.441	83	3.204	214	0	-0.565
2005	357	600	1.706	81.6	4.6	226.5	0	-0.604
2005	357	700	1.638	82.8	4.338	233	0	-0.604
2005	357	800	1.639	83.5	5.061	232.5	0	0.263
2005	357	900	1.812	83.3	4.746	231	0	16.61
2005	357	1000	2.124	85.8	3.524	222.6	0	40.21
2005	357	1100	2.195	90.7	3.669	209.3	0.508	50.24
2005	357	1200	2.348	94.5	3.834	203.5	0.508	65.86
2005	357	1300	2.036	95.8	4.93	205.6	1.778	35.71
