Source,WORD,AoA (Yrs),AoA (100-700),IMG,FAM,Length (Letters),,,,,,,,,
GL,abandonment,0,359,348,359,11,,,,,,,,,
GL,abatement,0,294,189,294,9,,,,,,,,,
BN,abbey,7.8,480,575,429,5,,,,,,,,,
GL,abdomen,0,426,548,426,7,,,,,,,,,
BN,abide,8.9,533,160,397,5,,,,,,,,,
GL,ability,0,563,327,563,7,,,,,,,,,
BN,able,5.9,322,200,599,4,,,,,,,,,
BN,aboard,6,345,362,456,6,,,,,,,,,
GL,abode,0,334,458,334,5,,,,,,,,,
GL,abridgement,0,303,240,303,11,,,,,,,,,
BN,abrupt,9.1,557,242,484,6,,,,,,,,,
GL,abscess,0,392,491,392,7,,,,,,,,,
GL,absolution,0,372,256,372,10,,,,,,,,,
BN,absorb,7.4,438,334,501,6,,,,,,,,,
BN,absurd,8.6,526,142,503,6,,,,,,,,,
GL,abundance,0,448,386,448,9,,,,,,,,,
GL,abyss,0,293,453,293,5,,,,,,,,,
GL,acceleration,0,499,486,499,12,,,,,,,,,
BN,accent,6.3,353,316,560,6,,,,,,,,,
BN,access,7.7,467,256,543,6,,,,,,,,,
GL,accident,0,564,518,564,8,,,,,,,,,
GL,accommodation,0,533,466,533,13,,,,,,,,,
GL,accordance,0,431,237,431,10,,,,,,,,,
GL,accumulation,0,451,354,451,12,,,,,,,,,
BN,accuse,7.3,440,239,514,6,,,,,,,,,
GL,accuser,0,363,343,363,7,,,,,,,,,
BN,ache,5.4,302,311,575,4,,,,,,,,,
GL,acidity,0,399,432,399,7,,,,,,,,,
GL,acre,0,427,464,427,4,,,,,,,,,
GL,act,0,566,433,566,3,,,,,,,,,
BN,active,6.6,386,343,551,6,,,,,,,,,
BN,actor,5.8,324,469,550,5,,,,,,,,,
BN,actress,5.6,307,562,543,7,,,,,,,,,
BN,actual,7.1,407,169,607,6,,,,,,,,,
GL,actuality,0,361,213,361,9,,,,,,,,,
BN,acute,9.7,609,238,441,5,,,,,,,,,
